date,symbol,adjust,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover,source,updated_at
2021-01-13,510230,qfq,1.15,1.156,1.134,1.141,745785,90239760.0,1.91,-0.7,-0.008,2.29,akshare,2026-04-28 00:49:28
2021-01-14,510230,qfq,1.135,1.148,1.123,1.124,682811,81989447.0,2.19,-1.49,-0.017,2.1,akshare,2026-04-28 00:49:28
2021-01-15,510230,qfq,1.136,1.175,1.136,1.147,1888061,231601608.0,3.47,2.05,0.023,5.8,akshare,2026-04-28 00:49:28
2021-01-18,510230,qfq,1.152,1.169,1.147,1.162,1526984,187306433.0,1.92,1.31,0.015,4.69,akshare,2026-04-28 00:49:28
2021-01-19,510230,qfq,1.16,1.18,1.15,1.162,624787,76973843.0,2.58,0.0,0.0,1.92,akshare,2026-04-28 00:49:28
2021-01-20,510230,qfq,1.162,1.171,1.146,1.151,597277,73099583.0,2.15,-0.95,-0.011,1.83,akshare,2026-04-28 00:49:28
2021-01-21,510230,qfq,1.153,1.171,1.145,1.158,656530,80246528.0,2.26,0.61,0.007,2.02,akshare,2026-04-28 00:49:28
2021-01-22,510230,qfq,1.152,1.154,1.127,1.131,793824,95327739.0,2.33,-2.33,-0.027,2.44,akshare,2026-04-28 00:49:28
2021-01-25,510230,qfq,1.127,1.139,1.114,1.138,515196,61470150.0,2.21,0.62,0.007,1.58,akshare,2026-04-28 00:49:28
2021-01-26,510230,qfq,1.135,1.143,1.109,1.112,714306,84977425.0,2.99,-2.28,-0.026,2.19,akshare,2026-04-28 00:49:28
2021-01-27,510230,qfq,1.111,1.133,1.111,1.121,467264,55635761.0,1.98,0.81,0.009,1.43,akshare,2026-04-28 00:49:28
2021-01-28,510230,qfq,1.108,1.113,1.099,1.105,532039,62434906.0,1.25,-1.43,-0.016,1.63,akshare,2026-04-28 00:49:28
2021-01-29,510230,qfq,1.108,1.115,1.088,1.1,647044,75686847.0,2.44,-0.45,-0.005,1.99,akshare,2026-04-28 00:49:28
2021-02-01,510230,qfq,1.101,1.115,1.091,1.111,484013,56726021.0,2.18,1.0,0.011,1.49,akshare,2026-04-28 00:49:28
2021-02-02,510230,qfq,1.111,1.115,1.099,1.105,600838,70455176.0,1.44,-0.54,-0.006,1.84,akshare,2026-04-28 00:49:28
2021-02-03,510230,qfq,1.103,1.119,1.091,1.104,1163213,136667821.0,2.53,-0.09,-0.001,3.57,akshare,2026-04-28 00:49:28
2021-02-04,510230,qfq,1.103,1.125,1.099,1.106,1062313,125097784.0,2.36,0.18,0.002,3.26,akshare,2026-04-28 00:49:28
2021-02-05,510230,qfq,1.107,1.131,1.106,1.126,1750837,208202289.0,2.26,1.81,0.02,5.38,akshare,2026-04-28 00:49:28
2021-02-08,510230,qfq,1.131,1.131,1.11,1.123,1458010,173814800.0,1.87,-0.27,-0.003,4.48,akshare,2026-04-28 00:49:28
2021-02-09,510230,qfq,1.123,1.132,1.111,1.131,1369685,162351042.0,1.87,0.71,0.008,4.21,akshare,2026-04-28 00:49:28
2021-02-10,510230,qfq,1.13,1.144,1.121,1.131,846340,101740298.0,2.03,0.0,0.0,2.6,akshare,2026-04-28 00:49:28
2021-02-18,510230,qfq,1.147,1.172,1.146,1.154,2472144,302948048.0,2.3,2.03,0.023,7.59,akshare,2026-04-28 00:49:28
2021-02-19,510230,qfq,1.148,1.171,1.147,1.164,551120,67737507.0,2.08,0.87,0.01,1.69,akshare,2026-04-28 00:49:28
2021-02-22,510230,qfq,1.163,1.171,1.144,1.146,600794,73653636.0,2.32,-1.55,-0.018,1.84,akshare,2026-04-28 00:49:28
2021-02-23,510230,qfq,1.141,1.174,1.141,1.158,721388,88648903.0,2.88,1.05,0.012,2.22,akshare,2026-04-28 00:49:28
2021-02-24,510230,qfq,1.16,1.162,1.131,1.143,781449,94977081.0,2.68,-1.3,-0.015,2.4,akshare,2026-04-28 00:49:28
2021-02-25,510230,qfq,1.145,1.173,1.142,1.164,1063127,130654629.0,2.71,1.84,0.021,3.26,akshare,2026-04-28 00:49:28
2021-02-26,510230,qfq,1.146,1.159,1.124,1.128,597604,72291267.0,3.01,-3.09,-0.036,1.83,akshare,2026-04-28 00:49:28
2021-03-01,510230,qfq,1.133,1.133,1.112,1.121,405199,48048330.0,1.86,-0.62,-0.007,1.24,akshare,2026-04-28 00:49:28
2021-03-02,510230,qfq,1.12,1.124,1.099,1.106,715373,84332757.0,2.23,-1.34,-0.015,2.2,akshare,2026-04-28 00:49:28
2021-03-03,510230,qfq,1.105,1.15,1.105,1.15,1694594,204712462.0,4.07,3.98,0.044,5.2,akshare,2026-04-28 00:49:28
2021-03-04,510230,qfq,1.145,1.154,1.133,1.137,458579,55520279.0,1.83,-1.13,-0.013,1.41,akshare,2026-04-28 00:49:28
2021-03-05,510230,qfq,1.133,1.142,1.114,1.134,477279,57037101.0,2.46,-0.26,-0.003,1.47,akshare,2026-04-28 00:49:28
2021-03-08,510230,qfq,1.137,1.153,1.118,1.121,441102,53105769.0,3.09,-1.15,-0.013,1.35,akshare,2026-04-28 00:49:28
2021-03-09,510230,qfq,1.12,1.134,1.094,1.097,543041,64132543.0,3.57,-2.14,-0.024,1.67,akshare,2026-04-28 00:49:28
2021-03-10,510230,qfq,1.1,1.105,1.092,1.096,375734,43743342.0,1.19,-0.09,-0.001,1.15,akshare,2026-04-28 00:49:28
2021-03-11,510230,qfq,1.102,1.127,1.101,1.127,295887,35067685.0,2.37,2.83,0.031,0.91,akshare,2026-04-28 00:49:28
2021-03-12,510230,qfq,1.129,1.133,1.12,1.132,472461,56367483.0,1.15,0.44,0.005,1.45,akshare,2026-04-28 00:49:28
2021-03-15,510230,qfq,1.131,1.141,1.121,1.126,368277,44064690.0,1.77,-0.53,-0.006,1.13,akshare,2026-04-28 00:49:28
2021-03-16,510230,qfq,1.129,1.145,1.127,1.137,314876,37904703.0,1.6,0.98,0.011,0.97,akshare,2026-04-28 00:49:28
2021-03-17,510230,qfq,1.136,1.136,1.118,1.122,291409,34789552.0,1.58,-1.32,-0.015,0.89,akshare,2026-04-28 00:49:28
2021-03-18,510230,qfq,1.124,1.127,1.115,1.12,303865,36059777.0,1.07,-0.18,-0.002,0.93,akshare,2026-04-28 00:49:28
2021-03-19,510230,qfq,1.117,1.119,1.088,1.097,471389,54995118.0,2.77,-2.05,-0.023,1.45,akshare,2026-04-28 00:49:28
2021-03-22,510230,qfq,1.094,1.116,1.094,1.114,742990,87446453.0,2.01,1.55,0.017,2.28,akshare,2026-04-28 00:49:28
2021-03-23,510230,qfq,1.114,1.121,1.101,1.114,360674,42456463.0,1.8,0.0,0.0,1.11,akshare,2026-04-28 00:49:28
2021-03-24,510230,qfq,1.112,1.116,1.099,1.099,409133,47991970.0,1.53,-1.35,-0.015,1.26,akshare,2026-04-28 00:49:28
2021-03-25,510230,qfq,1.098,1.106,1.09,1.095,304410,35417418.0,1.46,-0.36,-0.004,0.93,akshare,2026-04-28 00:49:28
2021-03-26,510230,qfq,1.095,1.104,1.093,1.104,335410,39114896.0,1.0,0.82,0.009,1.03,akshare,2026-04-28 00:49:28
2021-03-29,510230,qfq,1.103,1.103,1.092,1.101,338280,39383158.0,1.0,-0.27,-0.003,1.04,akshare,2026-04-28 00:49:28
2021-03-30,510230,qfq,1.1,1.105,1.094,1.105,451494,52638611.0,1.0,0.36,0.004,1.39,akshare,2026-04-28 00:49:28
2021-03-31,510230,qfq,1.105,1.106,1.091,1.1,301114,35042632.0,1.36,-0.45,-0.005,0.92,akshare,2026-04-28 00:49:28
2021-04-01,510230,qfq,1.1,1.103,1.094,1.101,305982,35688171.0,0.82,0.09,0.001,0.94,akshare,2026-04-28 00:49:28
2021-04-02,510230,qfq,1.101,1.102,1.09,1.092,1023714,118888576.0,1.09,-0.82,-0.009,3.14,akshare,2026-04-28 00:49:28
2021-04-06,510230,qfq,1.094,1.1,1.092,1.096,331632,38565384.0,0.73,0.37,0.004,1.02,akshare,2026-04-28 00:49:28
2021-04-07,510230,qfq,1.094,1.095,1.084,1.089,336144,38811325.0,1.0,-0.64,-0.007,1.03,akshare,2026-04-28 00:49:28
2021-04-08,510230,qfq,1.09,1.093,1.083,1.09,313129,36170540.0,0.92,0.09,0.001,0.96,akshare,2026-04-28 00:49:28
2021-04-09,510230,qfq,1.088,1.089,1.077,1.079,510431,58535382.0,1.1,-1.01,-0.011,1.57,akshare,2026-04-28 00:49:28
2021-04-12,510230,qfq,1.077,1.08,1.07,1.073,381182,43559191.0,0.93,-0.56,-0.006,1.17,akshare,2026-04-28 00:49:28
2021-04-13,510230,qfq,1.073,1.079,1.064,1.069,314868,35848706.0,1.4,-0.37,-0.004,0.97,akshare,2026-04-28 00:49:28
